x-axis,y-axis,z-axis
6.17,7.89,8.049625
6.17,7.89,8.049625
1.12,9.66,-5.434519
7.25,9.53,0.14982383
-0.65,13.29,-0.23154591
-1.53,5.67,0.61291564
0.84,4.52,1.4982382
1.54,6.32,-1.607201
9.53,18.2,0.95342433
9.92,5.94,2.152015
6.59,5.6,10.038197
6.09,18.62,-1.1441092
1.5,5.24,0.61291564
7.55,15.28,-3.2961242
12.26,3.02,11.413852
-0.23,6.97,1.1849703
-1.76,6.47,-1.1441092
0.72,16.4,-3.5276701
-0.95,5.18,2.7240696
3.83,5.48,-1.1441092
5.18,12.91,-1.9885708
10.92,6.24,6.510526
8.5,10.19,0.23154591
5.37,13.99,4.2086873
1.8,10.8,0.6946377
10.61,12.07,9.152874
-0.5,8.58,1.4573772
-0.91,5.79,-4.399372
0.11,10.95,-7.082581
-1.88,6.74,2.7240696
4.99,6.47,-2.1792557
6.47,14.86,-1.334794
13.57,10.76,-2.4108016
13.57,10.76,-2.4108016
5.83,13.18,10.61025
2.22,9.51,0.08172209
2.22,9.51,0.08172209
9.47,7.16,2.7240696
9.47,7.16,2.7240696
7.59,19.46,-3.0237172
7.59,19.46,-3.0237172
-1.88,5.56,4.099725
-1.88,5.56,4.099725
-0.34,5.33,-0.0
2.79,5.63,-1.7978859
11.8,13.18,-2.8330324
18.16,16.02,-1.7297841
2.72,10.34,10.378705
-1.31,9.58,3.8681788
3.49,12.22,-2.7240696
1.88,10.04,-3.568531
1.84,10.31,-2.2609777
0.65,10.0,-1.6480621
1.27,9.51,-0.7627395
3.72,8.31,-2.5333846
5.09,7.82,-3.3642259
6.17,8.54,-1.334794
6.36,9.77,-0.10896278
9.51,10.99,0.84446156
9.19,8.43,5.243834
5.24,8.69,4.0180025
3.79,11.11,0.5720546
0.38,17.08,-4.7943625
2.56,11.26,7.3958488
3.76,7.93,-1.7570249
2.03,6.24,0.9942854
-0.46,4.9,1.3756552
-2.64,2.87,-1.525479
0.5,3.6,-1.8387469
10.92,12.22,4.0588636
6.74,6.28,-0.08172209
0.0,-0.72,0.53119355
11.18,13.44,0.19068487
-1.27,18.39,2.4108016
9.08,10.88,0.50395286
11.99,6.32,3.8681788
-0.61,9.58,1.3075534
-1.92,4.29,-1.7570249
-2.72,13.48,-5.9793324
0.99,9.28,2.6423476
2.79,6.28,-0.38136974
7.63,11.26,2.6423476
12.49,6.97,1.7978859
8.31,10.95,-1.56634
5.37,12.49,6.1700177
6.74,10.38,1.2666923
4.02,6.63,2.6832085
-2.45,5.09,-2.7240696
-0.38,15.79,-3.5957718
2.6,11.18,4.0588636
3.99,4.67,-1.4165162
7.44,7.89,-2.4108016
11.35,3.87,5.325556
12.34,15.98,-0.61291564
3.06,11.99,2.3426998
5.56,9.81,5.284695
3.76,6.13,2.6014864
-0.65,7.08,-2.8330324
-0.11,11.45,-5.706926
-3.91,12.03,0.46309182
2.26,8.66,0.84446156
9.92,14.79,-1.0351465
13.57,4.56,6.0882955
6.93,9.58,4.0588636
2.64,17.16,-3.0645783
5.24,11.92,-0.46309182
7.25,7.06,6.5922484
0.34,7.31,3.0237172
0.19,8.47,-5.407278
-2.41,12.83,-5.597963
0.04,6.21,-0.38136974
5.9,10.46,-3.445948
13.48,19.5,0.46309182
11.14,9.04,2.1792557
8.85,11.54,11.536434
5.41,14.1,-2.9556155
2.6,15.98,-3.1463003
1.08,7.82,-2.1792557
1.61,10.76,-1.920469
-0.19,10.38,-0.040861044
1.33,8.08,1.1849703
3.41,7.67,-1.1168685
6.44,10.31,-2.2201166
10.23,11.75,-1.4573772
12.95,6.13,2.6832085
7.44,12.34,7.3958488
2.98,12.49,3.173541
0.5,9.85,0.313268
-1.99,8.81,2.1111538
1.92,7.63,-1.8387469
-0.3,7.97,0.040861044
-0.04,7.4,-0.46309182
5.52,10.15,-2.3018389
