id,class
0a0f452e-d9f8-4229-bfe0-9cd89a00287a.csv,Walking
2f8a3a61-ea55-4451-a6f4-8c9c074a7008.csv,Walking
adb6f735-4d97-4b76-8a5c-e775b4e7a088.csv,Upstairs
37cdb261-9761-4281-8520-9bdd0b96b4bd.csv,Jogging
3bf1e0e7-3d7b-4aba-9173-5144cb59c7b2.csv,Standing
4ae92cb8-42cf-45fc-88e8-df07b729f71b.csv,Jogging
c2a65144-3c2b-4d2d-845a-034bc251fd24.csv,Jogging
88f34dd7-e5eb-4266-aeae-e05eb3e4ee2e.csv,Jogging
142c7d68-db0f-4f33-a993-8d0f5112241c.csv,Upstairs
0f9409b3-049a-4dfb-9ddf-0718e7ea7130.csv,Downstairs
47991b33-7362-4264-94ca-3b4cf79e58c8.csv,Downstairs
78ed46da-1be2-4eee-86d7-7ceced38c990.csv,Jogging
1b714486-33ce-4efb-a18c-d693c0421cd4.csv,Jogging
0ed27244-844f-440b-bd16-0d9722c931cc.csv,Walking
14a30e24-db50-4fd0-9e4c-1696cd0b7a2f.csv,Upstairs
d51e5f1c-d5d5-4f81-81b6-4615c88f528b.csv,Walking
473fa094-ccf7-46db-b014-7b6b366927e9.csv,Jogging
f4deaebc-43a5-46a9-a04f-24b490d427f9.csv,Walking
f867b5c6-0bc9-4bb5-9adc-5077d29aa802.csv,Jogging
d277ffb3-1d1f-4047-9a5c-fc29bad81e32.csv,Upstairs
06eb1bd8-c639-4221-bfd7-7420c5643359.csv,Downstairs
0408b9f7-73ce-4887-951f-5821bf48176c.csv,Jogging
ebfca43b-c487-4b94-ad6c-de49fc775289.csv,Jogging
424f8136-15c1-4cf7-9143-ef9e3e961c3e.csv,Jogging
c096a873-feb7-4643-84a5-3012417b77ac.csv,Jogging
26bf0a69-9047-4390-ac19-c524fdc93c6d.csv,Jogging
3c0205b2-9d1a-4deb-bf16-380dc5512164.csv,Jogging
c11a3e13-f3ac-48d7-9958-27042b544847.csv,Downstairs
c3c27e49-73c8-4204-8004-f77a93693003.csv,Walking
bf75e51a-2c8c-47ff-b4f0-fb676b74a515.csv,Jogging
4238daee-008a-4749-a326-49360f07cb8a.csv,Downstairs
3f41ebd8-5d42-4b2c-802b-3c53747c8e37.csv,Walking
218f6af9-618e-4eaa-8f87-938a90ec4a46.csv,Jogging
203b443d-55f4-4eec-b2e6-6b116ab80f61.csv,Downstairs
bd82bae8-d90c-4c0b-a0ad-a5aa0997d4fb.csv,Upstairs
92332190-19e9-4a37-b6a5-c968140daf69.csv,Downstairs
9c7980da-4373-4d19-bd0f-716673b6b040.csv,Walking
35be0912-9be5-42d9-b1e0-b5d89795c12e.csv,Walking
63d6a6b2-6a54-4d11-9326-d7882c0ca796.csv,Walking
c4c19ebd-c2a2-4f97-8678-2ef84ab34fa7.csv,Walking
fc8367e9-11bd-4720-aec9-57db69bba5d2.csv,Walking
a082e160-07dc-4a28-a191-d3420fe8a643.csv,Jogging
3435e00b-22c4-4a83-85df-a319b03d875b.csv,Downstairs
516379d6-abf2-4ae9-8f25-21836d540f23.csv,Walking
23d0f4da-5c83-4d70-9c78-d9836b044788.csv,Jogging
be34a840-da4b-4717-bf6b-3506c0ab7434.csv,Walking
90893fe2-2fcb-427b-bdb3-9fe87c74ccdf.csv,Jogging
e7d98a66-522e-4ed8-b956-84a9d3f7d661.csv,Downstairs
99b8c9a3-54d6-49e7-8971-7a797d5c1393.csv,Upstairs
96eb27f4-75aa-4574-9aef-d12b003ee600.csv,Jogging
c16678d6-2067-427e-a7fb-72893a6c7be1.csv,Jogging
7e2c29f9-b2d7-44ce-8069-d78fe76e57a2.csv,Upstairs
95f671fc-7832-4b69-b98a-db4a8e6f6f64.csv,Upstairs
c99cb998-7004-4362-a952-15b87eb5c88b.csv,Walking
1e897117-4146-4a2e-b7af-dd8f0584cfee.csv,Upstairs
a9b4c7cf-dde0-4118-9253-3ca2c868b84a.csv,Walking
0ec35de8-569e-4ff3-b500-10115bbf7bd2.csv,Walking
6ed0b418-3849-4c3a-a956-0dbe7109c2dc.csv,Upstairs
4cd6be8e-4b2f-436e-892b-d0955c73d8c5.csv,Jogging
44906565-699b-4bac-a8a3-ad28f9ee70a8.csv,Jogging
992b4787-3d15-4316-a258-45c5abf403c9.csv,Jogging
42242740-91d0-41cc-a1ca-a6d40ce54142.csv,Jogging
f0ebef52-8cd2-422c-bc09-97ee299eb73f.csv,Downstairs
79676966-ee34-4c62-8456-05297f7b7946.csv,Walking
e9c23c14-ee5d-49ba-b676-500937e73826.csv,Walking
4cab54b1-ceee-4110-9f26-c49a1c6101f4.csv,Walking
8dc69ec8-0dba-4319-89c1-aca5aa0f2ece.csv,Jogging
cc52a268-047f-4ce6-aeba-a2acaa3f7824.csv,Jogging
9894204f-9e8a-4bd6-aa48-2541a7d94e1a.csv,Downstairs
783f2a7d-c046-40f1-9a62-24fae090c228.csv,Upstairs
a5bb4f27-5b48-4961-9b1c-2d6aaeac5699.csv,Walking
051ca173-c4fb-4cfa-93bf-61695700f936.csv,Jogging
1a93c60d-6401-4213-b7e8-0bb8fb1467d6.csv,Downstairs
93c00cd5-da60-4984-9a84-3291d37e1bd8.csv,Jogging
3055ec6f-2303-4e6c-9240-ad9a8d664de3.csv,Downstairs
609b0511-6c8d-4453-bdfe-ee3a2f42046f.csv,Downstairs
93f0b912-3900-4225-afb8-d799bfa17297.csv,Jogging
573804e5-176d-46e8-a2da-2b06e5875bd6.csv,Walking
9e9e9ed9-8733-4e15-b343-a9ec99ae2453.csv,Upstairs
a89d7bc8-2ff7-422d-9ea8-29cc62e5299c.csv,Downstairs
62a4b508-c492-4c3f-9409-0fe9dd290273.csv,Walking
57e0b958-1cf3-458e-bb4e-63a041b2a793.csv,Upstairs
1d794458-c34f-493f-8c12-1e7a8f2f4d0d.csv,Jogging
4c2b5c45-c2e2-497e-85b6-678e8cd0a80d.csv,Upstairs
2eac50d6-3ec1-4704-9c5a-355ffe4bf3e5.csv,Walking
20e2b693-3c69-4f18-9fc5-3cb6a3e757bc.csv,Jogging
766758bc-1af0-44da-92fa-ef94a6bd3f26.csv,Downstairs
3b4c91f0-511f-4e23-93ae-f8c401a05ec7.csv,Upstairs
73b7874d-0968-443a-a74f-78cb054829c6.csv,Jogging
b24916ce-fbf9-46ce-bafa-26de4efd324d.csv,Jogging
5a0538d7-846f-4a59-b3fc-e6e949355b3d.csv,Walking
88d2771e-eb6a-417f-9d98-f035b3b99407.csv,Walking
062067a3-6296-4378-9d68-9427c12f98a0.csv,Jogging
e1c31de7-4091-42dc-a456-5fae31724090.csv,Walking
0fcc0aeb-8ad0-4dce-a353-47ee13faa6e6.csv,Walking
56e1ba41-ec69-44c5-ac85-52f7e272dbcd.csv,Jogging
ae8666d4-5697-4ebd-8fcd-f59652b0de50.csv,Walking
